ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber,OrderDate,DueDate,ShipDate,Year,Month,Month Name,Qtr,YearMonth,Day of Week,Day Name,FinancialMonth,FinancialQuarter,CalculatedSalesAmount,CalculatedProductionCost,Profit,ProductName,CustomerName,Region,Country
353,20121231,20130112,20130107,11345,1,100,7,SO51224,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,,2012-12-31,2013-01-12,2013-01-07,2012,12,December,4,2012-Dec,2,Monday,9,FQ3,2319.99,1265.6195,1054.3705,"Mountain-200 Silver, 38",Robin  Ramos,France,France
537,20121231,20130112,20130107,11345,1,100,7,SO51224,2,1,1,35,35,0,0,13.09,13.09,35,2.8,0.875,,,2012-12-31,2013-01-12,2013-01-07,2012,12,December,4,2012-Dec,2,Monday,9,FQ3,35,13.09,21.91,HL Mountain Tire,Robin  Ramos,France,France
362,20121022,20121103,20121029,11345,2,100,7,SO50133,1,1,1,2049.0982,2049.0982,0,0,1105.81,1105.81,2049.0982,163.9279,51.2275,,,2012-10-22,2012-11-03,2012-10-29,2012,10,October,4,2012-Oct,2,Monday,7,FQ3,2049.0982,1105.81,943.2882,"Mountain-200 Black, 46",Robin  Ramos,France,France
344,20110119,20110131,20110126,11000,1,6,9,SO43793,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2011-01-19,2011-01-31,2011-01-26,2011,1,January,1,2011-Jan,4,Wednesday,10,FQ4,3399.99,1912.1544,1487.8356,"Mountain-100 Silver, 38",Jon V Yang,Australia,Australia
353,20121231,20130112,20130107,11076,2,6,9,SO51239,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,,2012-12-31,2013-01-12,2013-01-07,2012,12,December,4,2012-Dec,2,Monday,9,FQ3,2319.99,1265.6195,1054.3705,"Mountain-200 Silver, 38",Blake  Anderson,Australia,Australia
487,20121231,20130112,20130107,11076,1,6,9,SO51239,2,1,1,54.99,54.99,0,0,20.5663,20.5663,54.99,4.3992,1.3748,,,2012-12-31,2013-01-12,2013-01-07,2012,12,December,4,2012-Dec,2,Monday,9,FQ3,54.99,20.5663,34.4237,Hydration Pack - 70 oz.,Blake  Anderson,Australia,Australia
344,20110421,20110503,20110428,11076,1,6,9,SO44437,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2011-04-21,2011-05-03,2011-04-28,2011,4,April,2,2011-Apr,5,Thursday,1,FQ1,3399.99,1912.1544,1487.8356,"Mountain-100 Silver, 38",Blake  Anderson,Australia,Australia
350,20110115,20110127,20110122,11001,1,6,9,SO43767,1,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,,,2011-01-15,2011-01-27,2011-01-22,2011,1,January,1,2011-Jan,7,Saturday,10,FQ4,3374.99,1898.0944,1476.8956,"Mountain-100 Black, 44",Eugene L Huang,Australia,Australia
353,20121230,20130111,20130106,11449,1,6,9,SO51217,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,,2012-12-30,2013-01-11,2013-01-06,2012,12,December,4,2012-Dec,1,Sunday,9,FQ3,2319.99,1265.6195,1054.3705,"Mountain-200 Silver, 38",Alvin E Hu,Australia,Australia
537,20121230,20130111,20130106,11449,1,6,9,SO51217,3,1,1,35,35,0,0,13.09,13.09,35,2.8,0.875,,,2012-12-30,2013-01-11,2013-01-06,2012,12,December,4,2012-Dec,1,Sunday,9,FQ3,35,13.09,21.91,HL Mountain Tire,Alvin E Hu,Australia,Australia
